objname,d_dlr
2016A,1.8756583576378512
2016F,4.9929237447852595
2016H,3.4984798651468796
2016J,5.666147005962565
2016K,2.4490960965972577
2016W,2.410507473315779
2016Z,0.05985088990650442
2016aak,1.2265053217942443
2016acs,1.400344277375793
2016acx,1.9580775082342183
2016ad,1.5389285971243425
2016adi,4.461625660650606
2016adk,0.5129743440365948
2016adn,10.265106866789742
2016ado,1.4653204851860713
2016adp,1.98464718262947
2016adq,5.8912049306627585
2016aew,1.1561673258136471
2016aex,2.092865721231287
2016aey,1.3776121987985075
2016aez,13.10849373182835
2016afk,0.5452430400322298
2016ag,0.6819266009356377
2016agd,0.552600382484727
2016ah,2.2367524697540992
2016ahb,3.3162115956206337
2016ajb,2.930322488038419
2016aje,3.8679254538390513
2016ajk,2.7262101173725837
2016ajl,1.5790197817539278
2016ajp,2.083847457293097
2016ajq,7.2885465194185795
2016ajs,1.215561525112039
2016ajw,3.101888440303424
2016al,3.6079531477552753
2016alt,2.7794787127951923
2016am,1.8020086617907118
2016aqa,0.13569155822624565
2016aqb,5.553118401885107
2016aqz,0.7825228146404697
2016arc,0.22639343878916582
2016arh,3.189196816403717
2016ari,6.685705713741803
2016arj,0.9866727343708785
2016arr,1.0868846420964455
2016asf,14.394546969828252
2016atv,1.482833633380104
2016ayf,0.09732490996519333
2016ayg,2.4067236770532943
2016bew,8.466535788575328
2016bey,0.3993485234803114
2016bfw,1.9985622185003091
2016bfy,0.7909217744169792
2016blc,7.398072394365662
2016blg,5.2037670605177375
2016blh,0.9299153045130317
2016bli,7.136844818519472
2016blj,1.77151776198068
2016blk,1.5203827618644297
2016blm,6.503759136069251
2016blp,16.362168502944773
2016blv,0.7593067159691258
2016bmc,0.4816498089468501
2016bmh,3.543768214708367
2016brm,2.2827923675208517
2016brp,0.2713056011516402
2016brq,0.10683354428780907
2016brr,0.2888349061190918
2016brs,0.2565399578192982
2016brt,1.322733445498504
2016bru,2.569599986861469
2016bry,2.234296036060481
2016bsa,1.5060317724612013
2016bsc,1.0861089017773486
2016bsd,3.3341833418317917
2016cby,1.0424502264931461
2016cck,1.6488481858558262
2016ccl,2.380122397701814
2016ccs,3.3201103344942644
2016cct,1.9994907872147976
2016ccz,2.060322200976122
2016cda,4.465284981217515
2016cdb,2.269714966896565
2016cdc,3.7352965935731652
2016cdg,3.038307849834044
2016cky,1.0070685222795335
