recno,dr8Id,RAJ2000,DEJ2000,brickid,objid,SFSM,SFFDF,SFAF,DEOYes,DEONo,SAYes,SANo,BS,BW,BNo,BSD,BSL,BSM,BSS,BSNo,RR,RIB,RCS,EOBB,EOBNo,EOBR,SWT,SWM,SWL,SAC1,SAC2,SAC3,SAC4,SAC4+,SACCT,MNo,MMiD,MMaD,MM,Version,DR,objname,radeg_TNS,decdeg_TNS,redshift_TNS,agree_count,agree_methods,host_confidence,host_comments,host_catalogue,host_name,host_ra,host_dec,host_sep_arcsec,host_sep_kpc,dlr,host_probability,host_mag,host_mag_band,host_z_source,host_z,host_z_err,host_z_type,redshift_best,manual_check_comments,Separation
2601851,"344956_2218 ",47.064394,2.473821,344956,2218,0.68,0.22,0.1,,,,,,,,,,,,,0.12,0.84,0.05,,,,,,,,,,,,,0.37,0.1,0.05,0.48,1.0.0,DR8,2023ytk,47.0612985075,2.47426243944,0.075,2.0,"('desi1', 'sherlock')",8.0,"2 methods agree ('desi1', 'sherlock') + DLR > 4.0 + Host spec-z + Spec-z agrees",2MASS/PS1,03081547+0228255,47.06439442663907,2.4738259683933093,11.245239731897554,15.073745975395074,5.0226885272222574,,15.585363388061523,r,desi_1,0.0702769302465499,8.900071887111206E-6,SPEC,0.0702769302465499,,0.01795191676755674
2575808,"343503_3570 ",43.940955,2.28681,343503,3570,0.63,0.13,0.25,,,,,,,,,,,,,0.68,0.31,0.01,,,,,,,,,,,,,0.76,0.1,0.09,0.05,1.0.0,DR8,2022uta,43.9387677522,2.28203832418,0.046,1.0,"('prost',)",10.0,MANUALLY CORRECTED,NED,WISEA J025545.83+021712.4,43.940967,2.286792,,,,,,,,,,,0.046,Host is WISEA J025545.83+021712.4,0.0778608289583121
2710848,"350709_1502 ",45.989101,3.460044,350709,1502,0.41,0.54,0.05,0.96,0.04,,,,,,,,,,,,,,0.07,0.11,0.81,,,,,,,,,,0.91,0.06,0.01,0.01,1.0.0,DR8,2020rke,45.9903014018,3.45797052076,0.0667854,2.0,"('prost', 'sherlock')",10.0,"2 methods agree ('prost', 'sherlock') + P(Prost) >= 0.9 + Host spec-z + Spec-z agrees",panstarrs_dr2,1237678661444108436,45.98908873723998,3.4600358384562355,8.618026578248422,11.00142304511394,,0.9999999999999806,17.107,r,mosthosts,0.06664,1.0E-6,SPEC,0.06664,,0.05296263807056494
2736591,"352145_3366 ",45.557853,3.810152,352145,3366,0.06,0.88,0.05,0.03,0.97,0.98,0.02,0.08,0.3,0.62,0.01,0.01,0.34,0.63,0.01,,,,,,,0.79,0.18,0.03,0.05,0.2,0.3,0.18,0.06,0.21,0.79,0.16,0.04,0.01,1.0.0,DR8,2017gvw,45.556083,3.810289,0.0324,3.0,"('desi1', 'prost', 'sherlock')",10.0,">=3 methods agree ('desi1', 'prost', 'sherlock') + P(Prost) < 0.9 + DLR <= 4.0 + Host spec-z + Spec-z agrees",decals_dr9,2MASXJ03021387+0348365,45.557820153182575,3.810172403891045,6.254030032793575,4.192387016400685,1.0474179649038058,0.5150837682572775,15.008415222167969,r,desi_1,0.0336403399101305,8.526375989311548E-6,SPEC,0.0336403399101305,,0.13898368740848996
2736477,"352142_2105 ",44.580755,3.738633,352142,2105,0.35,0.53,0.11,0.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.24,0.33,0.07,1.0.0,DR8,2021aggb,44.581046614,3.73817210097,0.075,3.0,"('desi1', 'prost', 'sherlock')",10.0,">=3 methods agree ('desi1', 'prost', 'sherlock') + P(Prost) >= 0.9 + DLR <= 4.0 + Host spec-z + Spec-z agrees",decals_dr9,1237678622783701342,44.580754831647226,3.7386356816956727,1.9707561944424032,2.804470069180129,1.182575643113533,0.987269011049644,17.921186447143555,r,desi_1,0.0750254418744502,3.226970829267487E-6,SPEC,0.0750254418744502,,0.009673029066521063
2794112,"355021_2105 ",45.352579,4.239133,355021,2105,0.09,0.85,0.06,0.07,0.93,0.66,0.34,0.6,0.22,0.17,0.01,0.07,0.53,0.38,0.01,,,,,,,0.3,0.46,0.24,0.04,0.77,0.03,0.02,0.01,0.13,0.62,0.14,0.22,0.03,1.0.0,DR8,2019sys,45.3555194892,4.23938834311,0.07,2.0,"('prost', 'sherlock')",10.0,"2 methods agree ('prost', 'sherlock') + P(Prost) < 0.9 + Host phot-z + Phot-z disagrees",decals_dr9,1237678662517522516,45.35261534889225,4.2391665681685,10.456824378608628,16.222891574850312,,0.8915193178266072,15.068492133436312,r,prost_phot,0.082516,0.009788,PHOT,0.07,Host fine,0.17785765257687308
2794018,"355018_2826 ",44.642022,4.296392,355018,2826,0.8,0.14,0.06,,,,,,,,,,,,,0.62,0.37,0.01,,,,,,,,,,,,,0.86,0.11,0.03,0.01,1.0.0,DR8,2024rai,44.643016,4.2962537444444,0.07,3.0,"('desi1', 'prost', 'sherlock')",10.0,">=3 methods agree ('desi1', 'prost', 'sherlock') + P(Prost) >= 0.9 + DLR <= 4.0 + Host spec-z + Spec-z agrees",decals_dr9,1237678662517194963,44.64202331161212,4.296389447122491,3.596965734890925,4.601979710832126,2.126248787630328,0.999442323043527,17.549850463867188,r,desi_1,0.0668013505024403,6.23876221162093E-6,SPEC,0.0668013505024403,,0.010326325492553313
2627534,"346399_4120 ",47.993912,2.844395,346399,4120,0.71,0.15,0.14,,,,,,,,,,,,,0.5,0.49,0.02,,,,,,,,,,,,,0.57,0.11,0.06,0.26,1.0.0,DR8,2021aeja,47.99387633,2.846803881,0.063,2.0,"('prost', 'sherlock')",8.0,"2 methods agree ('prost', 'sherlock') + P(Prost) >= 0.9 + Host phot-z + Phot-z disagrees",decals_dr9,03115850+0250402,47.99385629367881,2.844460192031341,8.437587846484234,11.943624333485648,,0.9934909928823676,14.449611686825378,r,prost_phot,0.074591,0.005847,PHOT,0.063,,0.30854233334614256
2794340,"355030_1926 ",47.631795,4.271654,355030,1926,0.63,0.16,0.21,,,,,,,,,,,,,0.35,0.63,0.02,,,,,,,,,,,,,0.81,0.1,0.06,0.03,1.0.0,DR8,2016adn,47.643583,4.269667,0.0232,2.0,"('desi1', 'prost')",9.0,"2 methods agree ('desi1', 'prost') + P(Prost) >= 0.9 + DLR > 4.0 + Host spec-z + Spec-z agrees",decals_dr9,,47.63180183639117,4.271654938411772,42.89563126452935,20.112504058180456,5.70111102358537,0.9846154537005628,14.140088081359863,r,desi_1,0.0232344084922973,5.668757477847044E-6,SPEC,0.0232344084922973,,0.024774059811062402
2737062,"352160_566  ",49.206795,3.659772,352160,566,0.07,0.88,0.05,0.05,0.95,0.86,0.14,0.36,0.35,0.29,0.01,0.04,0.51,0.43,0.01,,,,,,,0.48,0.38,0.14,0.05,0.53,0.12,0.05,0.04,0.22,0.7,0.15,0.13,0.02,1.0.0,DR8,2021xmq,49.2072915167,3.66036698219,0.04,1.0,"('prost',)",7.0,"1 method only ('prost',) + P(Prost) >= 0.9 + Host phot-z + Phot-z agrees",decals_dr9,,49.20679462762436,3.659772003957817,2.7882963388275237,2.52251997539288,,0.9981802447719352,14.12715931267018,r,prost_phot,0.046085,0.017708,PHOT,0.04,,0.00133789433854088
